 1.920e+00  1.957e-01  3.602e-01  1.073e+00
 1.940e+00  1.976e-01  3.630e-01  1.072e+00
 1.960e+00  1.995e-01  3.659e-01  1.072e+00
 1.980e+00  2.015e-01  3.688e-01  1.071e+00
 2.000e+00  2.034e-01  3.716e-01  1.070e+00
 2.020e+00  2.053e-01  3.744e-01  1.069e+00
 2.040e+00  2.072e-01  3.771e-01  1.068e+00
 2.060e+00  2.091e-01  3.799e-01  1.068e+00
 2.080e+00  2.110e-01  3.826e-01  1.067e+00
 2.100e+00  2.129e-01  3.853e-01  1.066e+00
 2.120e+00  2.148e-01  3.879e-01  1.065e+00
 2.140e+00  2.167e-01  3.905e-01  1.064e+00
 2.160e+00  2.186e-01  3.931e-01  1.063e+00
 2.180e+00  2.204e-01  3.957e-01  1.063e+00
 2.200e+00  2.223e-01  3.983e-01  1.062e+00
 2.220e+00  2.242e-01  4.008e-01  1.061e+00
 2.240e+00  2.261e-01  4.033e-01  1.060e+00
 2.260e+00  2.279e-01  4.057e-01  1.059e+00
 2.280e+00  2.298e-01  4.082e-01  1.058e+00
 2.300e+00  2.316e-01  4.106e-01  1.057e+00
 2.320e+00  2.335e-01  4.130e-01  1.056e+00
 2.340e+00  2.354e-01  4.153e-01  1.055e+00
 2.360e+00  2.372e-01  4.176e-01  1.054e+00
 2.380e+00  2.390e-01  4.199e-01  1.053e+00
 2.400e+00  2.409e-01  4.222e-01  1.052e+00
 2.420e+00  2.427e-01  4.244e-01  1.051e+00
 2.440e+00  2.445e-01  4.266e-01  1.050e+00
 2.460e+00  2.464e-01  4.288e-01  1.049e+00
 2.480e+00  2.482e-01  4.309e-01  1.048e+00
 2.500e+00  2.500e-01  4.330e-01  1.047e+00
 2.520e+00  2.518e-01  4.351e-01  1.046e+00
 2.540e+00  2.536e-01  4.371e-01  1.045e+00
 2.560e+00  2.554e-01  4.392e-01  1.044e+00
 2.580e+00  2.572e-01  4.411e-01  1.043e+00
 2.600e+00  2.590e-01  4.431e-01  1.042e+00
 2.620e+00  2.608e-01  4.450e-01  1.041e+00
 2.640e+00  2.626e-01  4.469e-01  1.040e+00
 2.660e+00  2.644e-01  4.488e-01  1.038e+00
 2.680e+00  2.661e-01  4.506e-01  1.037e+00
 2.700e+00  2.679e-01  4.524e-01  1.036e+00
 2.720e+00  2.697e-01  4.542e-01  1.035e+00
 2.740e+00  2.714e-01  4.559e-01  1.034e+00
 2.760e+00  2.732e-01  4.576e-01  1.033e+00
 2.780e+00  2.749e-01  4.593e-01  1.031e+00
 2.800e+00  2.767e-01  4.609e-01  1.030e+00
 2.820e+00  2.784e-01  4.625e-01  1.029e+00
 2.840e+00  2.802e-01  4.641e-01  1.028e+00
 2.860e+00  2.819e-01  4.657e-01  1.026e+00
 2.880e+00  2.836e-01  4.672e-01  1.025e+00
 2.900e+00  2.854e-01  4.686e-01  1.024e+00
 2.920e+00  2.871e-01  4.701e-01  1.023e+00
 2.940e+00  2.888e-01  4.715e-01  1.021e+00
 2.960e+00  2.905e-01  4.729e-01  1.020e+00
 2.980e+00  2.922e-01  4.742e-01  1.019e+00
 3.000e+00  2.939e-01  4.755e-01  1.017e+00
 3.020e+00  2.956e-01  4.768e-01  1.016e+00
 3.040e+00  2.973e-01  4.781e-01  1.014e+00
 3.060e+00  2.990e-01  4.793e-01  1.013e+00
 3.080e+00  3.006e-01  4.804e-01  1.012e+00
 3.100e+00  3.023e-01  4.816e-01  1.010e+00
 3.120e+00  3.040e-01  4.827e-01  1.009e+00
 3.140e+00  3.056e-01  4.838e-01  1.007e+00
 3.160e+00  3.073e-01  4.848e-01  1.006e+00
 3.180e+00  3.089e-01  4.858e-01  1.004e+00
 3.200e+00  3.106e-01  4.868e-01  1.003e+00
 3.220e+00  3.122e-01  4.877e-01  1.001e+00
 3.240e+00  3.138e-01  4.886e-01  9.999e-01
 3.260e+00  3.155e-01  4.895e-01  9.983e-01
 3.280e+00  3.171e-01  4.903e-01  9.968e-01
 3.300e+00  3.187e-01  4.911e-01  9.952e-01
 3.320e+00  3.203e-01  4.919e-01  9.936e-01
 3.340e+00  3.219e-01  4.926e-01  9.920e-01
 3.360e+00  3.235e-01  4.933e-01  9.904e-01
 3.380e+00  3.251e-01  4.940e-01  9.887e-01
 3.400e+00  3.267e-01  4.946e-01  9.871e-01
 3.420e+00  3.283e-01  4.952e-01  9.854e-01
