 0.000e+00  0.000e+00  0.000e+00  5.236e-01  1.608e+00
 7.066e-03  7.467e-03  1.067e-02  5.348e-01  1.591e+00
 2.961e-02  1.180e-02  1.686e-02  5.412e-01  1.581e+00
 4.573e-02  1.514e-02  2.162e-02  5.462e-01  1.574e+00
 6.390e-02  1.818e-02  2.597e-02  5.508e-01  1.567e+00
 8.334e-02  2.115e-02  3.022e-02  5.552e-01  1.560e+00
 9.926e-02  2.413e-02  3.447e-02  5.597e-01  1.553e+00
 1.171e-01  2.714e-02  3.877e-02  5.642e-01  1.546e+00
 1.346e-01  3.019e-02  4.313e-02  5.688e-01  1.539e+00
 1.516e-01  3.328e-02  4.754e-02  5.734e-01  1.532e+00
 1.711e-01  3.640e-02  5.200e-02  5.781e-01  1.525e+00
 1.904e-01  3.957e-02  5.653e-02  5.828e-01  1.517e+00
 2.109e-01  4.278e-02  6.111e-02  5.876e-01  1.510e+00
 2.595e-01  4.603e-02  6.575e-02  5.925e-01  1.503e+00
 2.653e-01  4.931e-02  7.045e-02  5.974e-01  1.495e+00
 2.832e-01  5.264e-02  7.520e-02  6.023e-01  1.487e+00
 3.076e-01  5.600e-02  8.001e-02  6.074e-01  1.480e+00
 3.248e-01  5.941e-02  8.487e-02  6.125e-01  1.472e+00
 3.425e-01  6.285e-02  8.978e-02  6.176e-01  1.464e+00
 3.624e-01  6.632e-02  9.475e-02  6.228e-01  1.456e+00
 3.761e-01  6.984e-02  9.977e-02  6.281e-01  1.448e+00
 3.941e-01  7.339e-02  1.048e-01  6.334e-01  1.440e+00
 4.145e-01  7.697e-02  1.100e-01  6.387e-01  1.431e+00
 4.338e-01  8.059e-02  1.151e-01  6.442e-01  1.423e+00
 4.558e-01  8.425e-02  1.204e-01  6.496e-01  1.415e+00
 5.367e-01  8.794e-02  1.256e-01  6.552e-01  1.406e+00
 5.597e-01  9.166e-02  1.309e-01  6.607e-01  1.398e+00
 5.772e-01  9.542e-02  1.363e-01  6.664e-01  1.389e+00
 5.955e-01  9.921e-02  1.417e-01  6.720e-01  1.380e+00
 6.148e-01  1.030e-01  1.472e-01  6.777e-01  1.372e+00
 6.325e-01  1.069e-01  1.527e-01  6.835e-01  1.363e+00
 6.505e-01  1.108e-01  1.583e-01  6.893e-01  1.354e+00
 6.673e-01  1.147e-01  1.639e-01  6.952e-01  1.345e+00
 6.857e-01  1.187e-01  1.695e-01  7.011e-01  1.336e+00
 7.035e-01  1.226e-01  1.752e-01  7.071e-01  1.327e+00
 7.278e-01  1.267e-01  1.809e-01  7.131e-01  1.317e+00
 8.199e-01  1.307e-01  1.867e-01  7.191e-01  1.308e+00
 8.307e-01  1.348e-01  1.925e-01  7.252e-01  1.299e+00
 8.488e-01  1.389e-01  1.984e-01  7.313e-01  1.289e+00
 8.683e-01  1.430e-01  2.043e-01  7.375e-01  1.280e+00
 8.863e-01  1.472e-01  2.102e-01  7.437e-01  1.270e+00
 9.032e-01  1.513e-01  2.162e-01  7.500e-01  1.261e+00
 9.187e-01  1.556e-01  2.222e-01  7.563e-01  1.251e+00
 9.362e-01  1.598e-01  2.283e-01  7.626e-01  1.241e+00
 9.535e-01  1.641e-01  2.344e-01  7.690e-01  1.231e+00
 9.713e-01  1.683e-01  2.405e-01  7.754e-01  1.222e+00
 9.910e-01  1.727e-01  2.467e-01  7.819e-01  1.212e+00
 1.010e+00  1.770e-01  2.529e-01  7.884e-01  1.202e+00
 1.049e+00  1.814e-01  2.591e-01  7.949e-01  1.192e+00
 1.069e+00  1.858e-01  2.654e-01  8.015e-01  1.181e+00
 1.087e+00  1.902e-01  2.717e-01  8.081e-01  1.171e+00
 1.109e+00  1.946e-01  2.780e-01  8.147e-01  1.161e+00
 1.124e+00  1.991e-01  2.844e-01  8.214e-01  1.151e+00
 1.141e+00  2.036e-01  2.908e-01  8.281e-01  1.141e+00
 1.158e+00  2.081e-01  2.972e-01  8.349e-01  1.130e+00
 1.175e+00  2.126e-01  3.037e-01  8.416e-01  1.120e+00
 1.191e+00  2.171e-01  3.102e-01  8.484e-01  1.109e+00
 1.212e+00  2.217e-01  3.167e-01  8.553e-01  1.099e+00
 1.227e+00  2.263e-01  3.233e-01  8.621e-01  1.088e+00
 1.247e+00  2.309e-01  3.299e-01  8.690e-01  1.078e+00
 1.295e+00  2.355e-01  3.365e-01  8.759e-01  1.067e+00
 1.309e+00  2.402e-01  3.431e-01  8.829e-01  1.056e+00
 1.329e+00  2.448e-01  3.498e-01  8.899e-01  1.046e+00
 1.348e+00  2.495e-01  3.565e-01  8.969e-01  1.035e+00
 1.365e+00  2.542e-01  3.632e-01  9.039e-01  1.024e+00
 1.384e+00  2.589e-01  3.699e-01  9.110e-01  1.013e+00
 1.399e+00  2.637e-01  3.767e-01  9.180e-01  1.003e+00
 1.416e+00  2.684e-01  3.835e-01  9.251e-01  9.916e-01
 1.436e+00  2.732e-01  3.903e-01  9.323e-01  9.806e-01
 1.450e+00  2.780e-01  3.971e-01  9.394e-01  9.697e-01
 1.473e+00  2.828e-01  4.039e-01  9.466e-01  9.586e-01
 1.495e+00  2.876e-01  4.108e-01  9.538e-01  9.476e-01
 1.563e+00  2.924e-01  4.177e-01  9.610e-01  9.365e-01
 1.584e+00  2.972e-01  4.246e-01  9.682e-01  9.254e-01
