 0.000e+00  5.000e-02 -1.000e-01  5.236e-01
 1.969e-02  4.167e-02 -8.333e-02  5.236e-01
 3.212e-02  3.724e-02 -7.310e-02  5.083e-01
 4.163e-02  3.400e-02 -6.498e-02  5.495e-01
 4.823e-02  3.128e-02 -5.777e-02  5.984e-01
 5.597e-02  2.885e-02 -5.117e-02  6.367e-01
 6.522e-02  2.671e-02 -4.498e-02  6.799e-01
 7.260e-02  2.483e-02 -3.910e-02  7.128e-01
 8.064e-02  2.317e-02 -3.358e-02  7.449e-01
 9.205e-02  2.172e-02 -2.835e-02  7.754e-01
 9.965e-02  2.052e-02 -2.327e-02  8.089e-01
 1.091e-01  1.947e-02 -1.852e-02  8.392e-01
 1.188e-01  1.860e-02 -1.395e-02  8.656e-01
 1.320e-01  1.789e-02 -9.573e-03  8.900e-01
 1.417e-01  1.740e-02 -5.243e-03  9.123e-01
 1.545e-01  1.702e-02 -1.128e-03  9.307e-01
 1.685e-01  1.681e-02  2.929e-03  9.494e-01
 1.805e-01  1.676e-02  6.943e-03  9.677e-01
 1.951e-01  1.682e-02  1.083e-02  9.827e-01
 2.116e-01  1.703e-02  1.470e-02  9.960e-01
 2.542e-01  1.740e-02  1.860e-02  1.008e+00
 2.699e-01  1.836e-02  2.340e-02  1.020e+00
 3.018e-01  1.922e-02  2.777e-02  1.030e+00
 3.184e-01  2.041e-02  3.255e-02  1.039e+00
 3.311e-01  2.155e-02  3.705e-02  1.047e+00
 3.452e-01  2.267e-02  4.129e-02  1.054e+00
 3.588e-01  2.382e-02  4.543e-02  1.061e+00
 3.752e-01  2.501e-02  4.948e-02  1.067e+00
 3.909e-01  2.628e-02  5.354e-02  1.073e+00
 4.122e-01  2.759e-02  5.754e-02  1.078e+00
 4.257e-01  2.905e-02  6.170e-02  1.082e+00
 4.431e-01  3.046e-02  6.565e-02  1.086e+00
 4.635e-01  3.194e-02  6.964e-02  1.089e+00
 5.478e-01  3.352e-02  7.372e-02  1.092e+00
 5.642e-01  3.628e-02  8.003e-02  1.095e+00
 5.992e-01  3.856e-02  8.530e-02  1.098e+00
 6.130e-01  4.102e-02  9.085e-02  1.101e+00
 6.300e-01  4.325e-02  9.587e-02  1.102e+00
 6.452e-01  4.545e-02  1.008e-01  1.105e+00
